complaint_text,issue_type
Park facilities at Birch Avenue need repair,park_maintenance
Many street lights off on 5th Avenue road,streetlight
Damaged road surface on Cedar Street needs fixing,road_damage
Please control noise at Park Lane during nights,noise
Fix sewage leakage near Oak Street immediately,sewage
Park facilities at 5th Avenue need repair,park_maintenance
Road potholes and cracks on Maple Avenue,road_damage
Fix public sanitation issues at Park Lane,sanitation
Park maintenance is poor at MG Road,park_maintenance
Overflowing garbage bins at Park Lane need cleaning,garbage
Urgent repair needed for traffic lights at Main Street,traffic_signal
Sanitation facilities at Main Street need improvement,sanitation
Urgent repair needed for traffic lights at Birch Avenue,traffic_signal
Sanitation problem near Main Street market,sanitation
There is a large pothole on Cedar Street causing danger,pothole
The park near Cedar Street is full of broken benches and trash,park_maintenance
Public toilet near 5th Avenue is dirty and unusable,sanitation
Sewage water stagnating on Maple Avenue road,sewage
Public toilet near Park Lane is dirty and unusable,sanitation
Garbage piles near Park Lane are attracting rats,garbage
Water is leaking from the pipe near MG Road,water_leakage
High noise levels from Main Street factory,noise
Fix water leakage issue on Maple Avenue immediately,water_leakage
Sewage smell in the alley near Maple Avenue is unbearable,sewage
Please control noise at Park Lane during nights,noise
Open sewage on Elm Street is a health hazard,sewage
Damaged road surface on Oak Street needs fixing,road_damage
Children cannot play at Main Street park due to trash,park_maintenance
Broken traffic light on MG Road road causing traffic jams,traffic_signal
Traffic signals are malfunctioning at Cedar Street intersection,traffic_signal
Park maintenance is poor at 5th Avenue,park_maintenance
Sewage smell in the alley near Pine Road is unbearable,sewage
Garbage dumping near Elm Street is causing health issues,garbage
Open sewage on Main Street is a health hazard,sewage
Many potholes along Main Street street making it unsafe,pothole
Street lights are not working properly at Oak Street,streetlight
Garbage piles near Park Lane are attracting rats,garbage
Loud noise from construction site at Birch Avenue is disturbing,noise
Please clean garbage from MG Road street,garbage
Sewage water is leaking on Main Street street,sewage
Road is cracked and unsafe on MG Road,road_damage
Sanitation facilities at MG Road need improvement,sanitation
Please clean garbage from Cedar Street street,garbage
Park facilities at Birch Avenue need repair,park_maintenance
Huge pothole near Oak Street needs urgent repair,pothole
Road potholes and cracks on Oak Street,road_damage
Unsafe road conditions on 5th Avenue street,road_damage
Public toilet near Main Street is dirty and unusable,sanitation
Many street lights off on Elm Street road,streetlight
Noise pollution from Main Street is unbearable,noise
The park near Maple Avenue is full of broken benches and trash,park_maintenance
Constant noise near Oak Street affecting residents,noise
Sewage smell in the alley near Maple Avenue is unbearable,sewage
Broken traffic light on Park Lane road causing traffic jams,traffic_signal
Unsafe road conditions on Maple Avenue street,road_damage
Park maintenance is poor at Pine Road,park_maintenance
Water leakage near MG Road has damaged the street,water_leakage
Repair the damaged road near Park Lane,road_damage
Garbage dumping near Cedar Street is causing health issues,garbage
Sanitation facilities at 5th Avenue need improvement,sanitation
Garbage is not collected for weeks in Elm Street,garbage
Sanitation problem near Birch Avenue market,sanitation
Dangerous pothole on Pine Road road is causing accidents,pothole
Poor lighting on Main Street at night is dangerous,streetlight
Traffic signals are malfunctioning at Birch Avenue intersection,traffic_signal
Dark street due to faulty streetlights on Birch Avenue,streetlight
Constant water leakage on Oak Street is wasting water,water_leakage
Damaged road surface on 5th Avenue needs fixing,road_damage
Please clean garbage from Oak Street street,garbage
Sewage water stagnating on Elm Street road,sewage
Garbage piles near MG Road are attracting rats,garbage
Toilet cleanliness is poor at Cedar Street park,sanitation
Sewage water is leaking on Main Street street,sewage
Garbage piles near Elm Street are attracting rats,garbage
Garbage piles near Pine Road are attracting rats,garbage
Fix public sanitation issues at Cedar Street,sanitation
Damaged road surface on 5th Avenue needs fixing,road_damage
Traffic signals on Oak Street are not working,traffic_signal
Constant water leakage on Park Lane is wasting water,water_leakage
Traffic signals on Elm Street are not working,traffic_signal
Sewage smell in the alley near Cedar Street is unbearable,sewage
Street lights are not working properly at Oak Street,streetlight
Sanitation facilities at Birch Avenue need improvement,sanitation
Fix streetlight on Park Lane quickly for safety,streetlight
Broken traffic light on Maple Avenue road causing traffic jams,traffic_signal
Sanitation facilities at Oak Street need improvement,sanitation
Clean the park area near MG Road,park_maintenance
Potholes are damaging vehicles on Cedar Street,pothole
Fix public sanitation issues at Main Street,sanitation
Garbage piles near Birch Avenue are attracting rats,garbage
Unsafe road conditions on 5th Avenue street,road_damage
Traffic signal timing is wrong on Birch Avenue,traffic_signal
Constant water leakage on Cedar Street is wasting water,water_leakage
Fix streetlight on Maple Avenue quickly for safety,streetlight
Toilet cleanliness is poor at Birch Avenue park,sanitation
Park maintenance is poor at Elm Street,park_maintenance
Children cannot play at Cedar Street park due to trash,park_maintenance
Children cannot play at MG Road park due to trash,park_maintenance
Water is leaking from the pipe near Pine Road,water_leakage
Water is leaking from the pipe near Pine Road,water_leakage
Garbage is not collected for weeks in Birch Avenue,garbage
Dangerous pothole on MG Road road is causing accidents,pothole
Poor lighting on Park Lane at night is dangerous,streetlight
Traffic signals are malfunctioning at Pine Road intersection,traffic_signal
Public toilet near Main Street is dirty and unusable,sanitation
Traffic signal timing is wrong on Elm Street,traffic_signal
Overflowing garbage bins at Main Street need cleaning,garbage
Clean the park area near Park Lane,park_maintenance
Park maintenance is poor at Maple Avenue,park_maintenance
Sewage water stagnating on Birch Avenue road,sewage
Clean the park area near Maple Avenue,park_maintenance
Huge pothole near Maple Avenue needs urgent repair,pothole
Road is cracked and unsafe on Maple Avenue,road_damage
Traffic signals are malfunctioning at MG Road intersection,traffic_signal
Water leakage near Park Lane has damaged the street,water_leakage
Garbage is not collected for weeks in MG Road,garbage
Water is leaking from the pipe near Cedar Street,water_leakage
Park facilities at MG Road need repair,park_maintenance
Sewage smell in the alley near Oak Street is unbearable,sewage
Sanitation problem near Maple Avenue market,sanitation
Dark street due to faulty streetlights on MG Road,streetlight
Dark street due to faulty streetlights on Birch Avenue,streetlight
Noise pollution from Birch Avenue is unbearable,noise
Park maintenance is poor at MG Road,park_maintenance
Road potholes and cracks on Park Lane,road_damage
Toilet cleanliness is poor at Main Street park,sanitation
Traffic signals are malfunctioning at Pine Road intersection,traffic_signal
Unsafe road conditions on Park Lane street,road_damage
Traffic signals on Pine Road are not working,traffic_signal
Public toilet near Cedar Street is dirty and unusable,sanitation
Road potholes and cracks on Main Street,road_damage
Sewage smell in the alley near Park Lane is unbearable,sewage
Garbage is not collected for weeks in Maple Avenue,garbage
Clean the park area near Maple Avenue,park_maintenance
Garbage dumping near Oak Street is causing health issues,garbage
Garbage dumping near Pine Road is causing health issues,garbage
Garbage dumping near Main Street is causing health issues,garbage
Park facilities at Maple Avenue need repair,park_maintenance
Street lights are not working properly at Pine Road,streetlight
Overflowing garbage bins at Cedar Street need cleaning,garbage
Fix public sanitation issues at Pine Road,sanitation
Dangerous pothole on Maple Avenue road is causing accidents,pothole
Park maintenance is poor at Maple Avenue,park_maintenance
Constant noise near Pine Road affecting residents,noise
Fix public sanitation issues at Birch Avenue,sanitation
High noise levels from Cedar Street factory,noise
Loud noise from construction site at Oak Street is disturbing,noise
Clean the park area near Pine Road,park_maintenance
Garbage is not collected for weeks in Maple Avenue,garbage
Huge pothole near Birch Avenue needs urgent repair,pothole
Please control noise at Cedar Street during nights,noise
Fix sewage leakage near Maple Avenue immediately,sewage
Fix public sanitation issues at MG Road,sanitation
Clean the park area near Pine Road,park_maintenance
Poor lighting on Pine Road at night is dangerous,streetlight
Toilet cleanliness is poor at Main Street park,sanitation
Garbage dumping near Cedar Street is causing health issues,garbage
Urgent repair needed for traffic lights at Birch Avenue,traffic_signal
Poor lighting on Cedar Street at night is dangerous,streetlight
Children cannot play at Maple Avenue park due to trash,park_maintenance
Garbage is not collected for weeks in Oak Street,garbage
Sewage water stagnating on MG Road road,sewage
Fix streetlight on 5th Avenue quickly for safety,streetlight
Children cannot play at Cedar Street park due to trash,park_maintenance
There is a large pothole on Elm Street causing danger,pothole
Clean the park area near MG Road,park_maintenance
Many street lights off on Oak Street road,streetlight
Overflowing garbage bins at Birch Avenue need cleaning,garbage
Poor lighting on 5th Avenue at night is dangerous,streetlight
There is a major water pipe leak on Elm Street,water_leakage
Huge pothole near Main Street needs urgent repair,pothole
Many potholes along Oak Street street making it unsafe,pothole
Fix water leakage issue on Park Lane immediately,water_leakage
There is a large pothole on Elm Street causing danger,pothole
There is a large pothole on Cedar Street causing danger,pothole
Water leakage near Oak Street has damaged the street,water_leakage
Toilet cleanliness is poor at Oak Street park,sanitation
Sewage water is leaking on Main Street street,sewage
Please control noise at Pine Road during nights,noise
Fix public sanitation issues at Cedar Street,sanitation
Road is cracked and unsafe on Park Lane,road_damage
Fix public sanitation issues at Maple Avenue,sanitation
Urgent repair needed for traffic lights at Elm Street,traffic_signal
Open sewage on Cedar Street is a health hazard,sewage
Dangerous pothole on Park Lane road is causing accidents,pothole
Park facilities at Park Lane need repair,park_maintenance
Overflowing garbage bins at Main Street need cleaning,garbage
Children cannot play at Pine Road park due to trash,park_maintenance
Fix water leakage issue on Cedar Street immediately,water_leakage
Please control noise at Park Lane during nights,noise
Sewage water stagnating on Birch Avenue road,sewage
Sanitation problem near Main Street market,sanitation
High noise levels from MG Road factory,noise
Clean the park area near MG Road,park_maintenance
Dangerous pothole on Birch Avenue road is causing accidents,pothole
Sewage water stagnating on MG Road road,sewage
Park maintenance is poor at Park Lane,park_maintenance
Potholes are damaging vehicles on Oak Street,pothole
Sanitation facilities at Park Lane need improvement,sanitation
Children cannot play at Park Lane park due to trash,park_maintenance
Water is leaking from the pipe near 5th Avenue,water_leakage
Overflowing garbage bins at Pine Road need cleaning,garbage
Open sewage on 5th Avenue is a health hazard,sewage
Dark street due to faulty streetlights on Cedar Street,streetlight
Sewage smell in the alley near Oak Street is unbearable,sewage
Garbage piles near Main Street are attracting rats,garbage
Broken traffic light on Pine Road road causing traffic jams,traffic_signal
Park facilities at Elm Street need repair,park_maintenance
Loud noise from construction site at Oak Street is disturbing,noise
Overflowing garbage bins at Main Street need cleaning,garbage
Fix water leakage issue on Main Street immediately,water_leakage
Sewage water stagnating on Maple Avenue road,sewage
Urgent repair needed for traffic lights at Elm Street,traffic_signal
Loud noise from construction site at Birch Avenue is disturbing,noise
High noise levels from Park Lane factory,noise
Traffic signals are malfunctioning at Park Lane intersection,traffic_signal
Noise pollution from Birch Avenue is unbearable,noise
The park near Main Street is full of broken benches and trash,park_maintenance
There is a large pothole on Maple Avenue causing danger,pothole
Garbage dumping near 5th Avenue is causing health issues,garbage
Please clean garbage from Maple Avenue street,garbage
Sewage water is leaking on Oak Street street,sewage
Sewage water is leaking on Oak Street street,sewage
Fix water leakage issue on Birch Avenue immediately,water_leakage
Repair the damaged road near MG Road,road_damage
The park near Birch Avenue is full of broken benches and trash,park_maintenance
Open sewage on MG Road is a health hazard,sewage
Poor lighting on Main Street at night is dangerous,streetlight
Clean the park area near Oak Street,park_maintenance
There is a major water pipe leak on MG Road,water_leakage
Park maintenance is poor at Elm Street,park_maintenance
Please clean garbage from 5th Avenue street,garbage
Road potholes and cracks on Pine Road,road_damage
Fix water leakage issue on Elm Street immediately,water_leakage
Garbage is not collected for weeks in Park Lane,garbage
Traffic signals on Maple Avenue are not working,traffic_signal
Potholes are damaging vehicles on Oak Street,pothole
Street lights are not working properly at Park Lane,streetlight
Street lights are not working properly at Cedar Street,streetlight
Many potholes along Birch Avenue street making it unsafe,pothole
Overflowing garbage bins at Elm Street need cleaning,garbage
Clean the park area near MG Road,park_maintenance
Fix public sanitation issues at Cedar Street,sanitation
Children cannot play at Birch Avenue park due to trash,park_maintenance
Traffic signals are malfunctioning at Park Lane intersection,traffic_signal
There is a major water pipe leak on Cedar Street,water_leakage
Park maintenance is poor at Birch Avenue,park_maintenance
Dark street due to faulty streetlights on Elm Street,streetlight
Damaged road surface on Oak Street needs fixing,road_damage
Traffic signals on 5th Avenue are not working,traffic_signal
Overflowing garbage bins at Cedar Street need cleaning,garbage
Loud noise from construction site at Maple Avenue is disturbing,noise
Garbage dumping near MG Road is causing health issues,garbage
Overflowing garbage bins at Cedar Street need cleaning,garbage
Many street lights off on Park Lane road,streetlight
Many street lights off on Main Street road,streetlight
Garbage piles near Main Street are attracting rats,garbage
Broken traffic light on Elm Street road causing traffic jams,traffic_signal
Fix streetlight on Maple Avenue quickly for safety,streetlight
Park maintenance is poor at Elm Street,park_maintenance
Many potholes along Elm Street street making it unsafe,pothole
Damaged road surface on Main Street needs fixing,road_damage
Water leakage near Pine Road has damaged the street,water_leakage
Sanitation facilities at Cedar Street need improvement,sanitation
The park near Pine Road is full of broken benches and trash,park_maintenance
Sanitation problem near Cedar Street market,sanitation
Unsafe road conditions on Oak Street street,road_damage
Traffic signals on 5th Avenue are not working,traffic_signal
Clean the park area near Oak Street,park_maintenance
Please clean garbage from Cedar Street street,garbage
Noise pollution from Pine Road is unbearable,noise
Garbage piles near Cedar Street are attracting rats,garbage
Dangerous pothole on Park Lane road is causing accidents,pothole
Dark street due to faulty streetlights on MG Road,streetlight
Water leakage near Pine Road has damaged the street,water_leakage
Garbage is not collected for weeks in Main Street,garbage
Sewage water is leaking on MG Road street,sewage
Urgent repair needed for traffic lights at Elm Street,traffic_signal
Overflowing garbage bins at Birch Avenue need cleaning,garbage
There is a large pothole on Park Lane causing danger,pothole
Please clean garbage from Oak Street street,garbage
Park maintenance is poor at Oak Street,park_maintenance
Sanitation facilities at Cedar Street need improvement,sanitation
There is a major water pipe leak on Oak Street,water_leakage
Open sewage on Pine Road is a health hazard,sewage
Road is cracked and unsafe on Pine Road,road_damage
Garbage piles near Cedar Street are attracting rats,garbage
Huge pothole near Birch Avenue needs urgent repair,pothole
Street lights are not working properly at Oak Street,streetlight
Constant noise near Birch Avenue affecting residents,noise
Children cannot play at Oak Street park due to trash,park_maintenance
Garbage dumping near Elm Street is causing health issues,garbage
Damaged road surface on Birch Avenue needs fixing,road_damage
Loud noise from construction site at MG Road is disturbing,noise
Sewage water stagnating on Elm Street road,sewage
Garbage dumping near Main Street is causing health issues,garbage
Garbage piles near Maple Avenue are attracting rats,garbage
Many potholes along Main Street street making it unsafe,pothole
Damaged road surface on Maple Avenue needs fixing,road_damage
Broken traffic light on Cedar Street road causing traffic jams,traffic_signal
Garbage piles near Main Street are attracting rats,garbage
Noise pollution from 5th Avenue is unbearable,noise
Open sewage on Cedar Street is a health hazard,sewage
There is a large pothole on Park Lane causing danger,pothole
Huge pothole near Pine Road needs urgent repair,pothole
Garbage piles near Maple Avenue are attracting rats,garbage
Please clean garbage from Birch Avenue street,garbage
Fix public sanitation issues at Main Street,sanitation
Overflowing garbage bins at Birch Avenue need cleaning,garbage
Fix public sanitation issues at Elm Street,sanitation
Road potholes and cracks on Pine Road,road_damage
Traffic signals on Park Lane are not working,traffic_signal
Sewage smell in the alley near 5th Avenue is unbearable,sewage
Road is cracked and unsafe on Cedar Street,road_damage
Please clean garbage from Elm Street street,garbage
Constant noise near Cedar Street affecting residents,noise
Fix public sanitation issues at Cedar Street,sanitation
Many potholes along Main Street street making it unsafe,pothole
Park facilities at MG Road need repair,park_maintenance
Overflowing garbage bins at Birch Avenue need cleaning,garbage
Public toilet near 5th Avenue is dirty and unusable,sanitation
Water is leaking from the pipe near Maple Avenue,water_leakage
Traffic signals are malfunctioning at Elm Street intersection,traffic_signal
Park facilities at Park Lane need repair,park_maintenance
Traffic signals on Pine Road are not working,traffic_signal
Park maintenance is poor at Oak Street,park_maintenance
Water leakage near Park Lane has damaged the street,water_leakage
Traffic signals are malfunctioning at Elm Street intersection,traffic_signal
Many street lights off on Pine Road road,streetlight
Garbage is not collected for weeks in Pine Road,garbage
Road is cracked and unsafe on Main Street,road_damage
Dark street due to faulty streetlights on Pine Road,streetlight
Many street lights off on MG Road road,streetlight
Fix streetlight on Birch Avenue quickly for safety,streetlight
Please control noise at Birch Avenue during nights,noise
Noise pollution from Main Street is unbearable,noise
Please control noise at Maple Avenue during nights,noise
Sanitation problem near Pine Road market,sanitation
Poor lighting on MG Road at night is dangerous,streetlight
Garbage is not collected for weeks in Oak Street,garbage
Loud noise from construction site at MG Road is disturbing,noise
Repair the damaged road near Oak Street,road_damage
Water leakage near Cedar Street has damaged the street,water_leakage
Repair the damaged road near Pine Road,road_damage
Unsafe road conditions on Elm Street street,road_damage
Road potholes and cracks on 5th Avenue,road_damage
Fix streetlight on Birch Avenue quickly for safety,streetlight
Clean the park area near 5th Avenue,park_maintenance
Traffic signal timing is wrong on Cedar Street,traffic_signal
Garbage is not collected for weeks in Cedar Street,garbage
There is a major water pipe leak on Maple Avenue,water_leakage
Repair the damaged road near 5th Avenue,road_damage
Street lights are not working properly at MG Road,streetlight
Dark street due to faulty streetlights on Park Lane,streetlight
Many street lights off on Oak Street road,streetlight
Fix sewage leakage near Cedar Street immediately,sewage
Dangerous pothole on Park Lane road is causing accidents,pothole
Fix water leakage issue on Birch Avenue immediately,water_leakage
Traffic signals are malfunctioning at 5th Avenue intersection,traffic_signal
Constant noise near 5th Avenue affecting residents,noise
Sewage smell in the alley near Main Street is unbearable,sewage
Potholes are damaging vehicles on Birch Avenue,pothole
Many potholes along Cedar Street street making it unsafe,pothole
Overflowing garbage bins at Maple Avenue need cleaning,garbage
Please clean garbage from Park Lane street,garbage
High noise levels from MG Road factory,noise
Unsafe road conditions on MG Road street,road_damage
Park maintenance is poor at Pine Road,park_maintenance
Loud noise from construction site at MG Road is disturbing,noise
There is a large pothole on Park Lane causing danger,pothole
Park facilities at 5th Avenue need repair,park_maintenance
Fix public sanitation issues at 5th Avenue,sanitation
Water is leaking from the pipe near Elm Street,water_leakage
The park near Cedar Street is full of broken benches and trash,park_maintenance
Noise pollution from Birch Avenue is unbearable,noise
Toilet cleanliness is poor at Elm Street park,sanitation
There is a major water pipe leak on Oak Street,water_leakage
Broken traffic light on Elm Street road causing traffic jams,traffic_signal
Damaged road surface on Pine Road needs fixing,road_damage
Huge pothole near MG Road needs urgent repair,pothole
Street lights are not working properly at MG Road,streetlight
Poor lighting on Pine Road at night is dangerous,streetlight
Loud noise from construction site at Oak Street is disturbing,noise
Road potholes and cracks on Pine Road,road_damage
Urgent repair needed for traffic lights at Oak Street,traffic_signal
Sewage water stagnating on Main Street road,sewage
Noise pollution from Cedar Street is unbearable,noise
Many potholes along Park Lane street making it unsafe,pothole
Urgent repair needed for traffic lights at Cedar Street,traffic_signal
Constant noise near 5th Avenue affecting residents,noise
Road is cracked and unsafe on Pine Road,road_damage
Fix water leakage issue on Main Street immediately,water_leakage
Unsafe road conditions on Maple Avenue street,road_damage
Damaged road surface on Cedar Street needs fixing,road_damage
Sewage smell in the alley near Park Lane is unbearable,sewage
Please control noise at Cedar Street during nights,noise
The park near 5th Avenue is full of broken benches and trash,park_maintenance
Sanitation facilities at MG Road need improvement,sanitation
Road potholes and cracks on MG Road,road_damage
Noise pollution from Park Lane is unbearable,noise
Water leakage near Elm Street has damaged the street,water_leakage
Toilet cleanliness is poor at Elm Street park,sanitation
Fix water leakage issue on Maple Avenue immediately,water_leakage
Garbage is not collected for weeks in Maple Avenue,garbage
Dangerous pothole on 5th Avenue road is causing accidents,pothole
Damaged road surface on Pine Road needs fixing,road_damage
Traffic signals are malfunctioning at Elm Street intersection,traffic_signal
Urgent repair needed for traffic lights at MG Road,traffic_signal
Fix streetlight on Cedar Street quickly for safety,streetlight
Sewage water stagnating on Oak Street road,sewage
Overflowing garbage bins at Maple Avenue need cleaning,garbage
Traffic signals are malfunctioning at Maple Avenue intersection,traffic_signal
Sanitation facilities at MG Road need improvement,sanitation
Dark street due to faulty streetlights on Maple Avenue,streetlight
Broken traffic light on Maple Avenue road causing traffic jams,traffic_signal
Overflowing garbage bins at MG Road need cleaning,garbage
Loud noise from construction site at Cedar Street is disturbing,noise
Fix water leakage issue on Birch Avenue immediately,water_leakage
Clean the park area near Pine Road,park_maintenance
Dark street due to faulty streetlights on MG Road,streetlight
Please control noise at Main Street during nights,noise
Fix water leakage issue on Maple Avenue immediately,water_leakage
Sewage smell in the alley near MG Road is unbearable,sewage
The park near Elm Street is full of broken benches and trash,park_maintenance
Unsafe road conditions on MG Road street,road_damage
Traffic signals are malfunctioning at Pine Road intersection,traffic_signal
Park facilities at Main Street need repair,park_maintenance
Dangerous pothole on 5th Avenue road is causing accidents,pothole
Constant noise near 5th Avenue affecting residents,noise
Toilet cleanliness is poor at Cedar Street park,sanitation
Dark street due to faulty streetlights on Park Lane,streetlight
Huge pothole near MG Road needs urgent repair,pothole
Dark street due to faulty streetlights on Maple Avenue,streetlight
Sewage water is leaking on Maple Avenue street,sewage
Park maintenance is poor at Oak Street,park_maintenance
Fix water leakage issue on Pine Road immediately,water_leakage
There is a large pothole on Main Street causing danger,pothole
Garbage dumping near 5th Avenue is causing health issues,garbage
Sanitation facilities at Maple Avenue need improvement,sanitation
High noise levels from 5th Avenue factory,noise
Many potholes along Cedar Street street making it unsafe,pothole
Sanitation facilities at Park Lane need improvement,sanitation
Water leakage near Elm Street has damaged the street,water_leakage
Fix streetlight on MG Road quickly for safety,streetlight
Sewage water is leaking on Main Street street,sewage
Toilet cleanliness is poor at Park Lane park,sanitation
Sewage water is leaking on Pine Road street,sewage
Potholes are damaging vehicles on Birch Avenue,pothole
Fix water leakage issue on Maple Avenue immediately,water_leakage
Repair the damaged road near Birch Avenue,road_damage
Sanitation facilities at Cedar Street need improvement,sanitation
Many street lights off on Cedar Street road,streetlight
There is a large pothole on Pine Road causing danger,pothole
Noise pollution from Maple Avenue is unbearable,noise
There is a major water pipe leak on Park Lane,water_leakage
Please control noise at MG Road during nights,noise
Poor lighting on Cedar Street at night is dangerous,streetlight
Water leakage near Birch Avenue has damaged the street,water_leakage
Fix water leakage issue on Park Lane immediately,water_leakage
Repair the damaged road near Maple Avenue,road_damage
Please clean garbage from Elm Street street,garbage
Broken traffic light on Birch Avenue road causing traffic jams,traffic_signal
The park near Pine Road is full of broken benches and trash,park_maintenance
Damaged road surface on Maple Avenue needs fixing,road_damage
Park maintenance is poor at Park Lane,park_maintenance
Traffic signals are malfunctioning at Main Street intersection,traffic_signal
Urgent repair needed for traffic lights at Oak Street,traffic_signal
Urgent repair needed for traffic lights at 5th Avenue,traffic_signal
Water is leaking from the pipe near Elm Street,water_leakage
Dangerous pothole on Pine Road road is causing accidents,pothole
Water leakage near Oak Street has damaged the street,water_leakage
Water is leaking from the pipe near Oak Street,water_leakage
Urgent repair needed for traffic lights at Elm Street,traffic_signal
Fix water leakage issue on Birch Avenue immediately,water_leakage
Road potholes and cracks on Maple Avenue,road_damage
Many potholes along Oak Street street making it unsafe,pothole
Traffic signals are malfunctioning at Pine Road intersection,traffic_signal
Repair the damaged road near Birch Avenue,road_damage
There is a large pothole on Oak Street causing danger,pothole
Children cannot play at Birch Avenue park due to trash,park_maintenance
There is a large pothole on Cedar Street causing danger,pothole
Urgent repair needed for traffic lights at 5th Avenue,traffic_signal
Please control noise at Birch Avenue during nights,noise
Park maintenance is poor at Park Lane,park_maintenance
There is a large pothole on Cedar Street causing danger,pothole
Sanitation problem near Pine Road market,sanitation
Unsafe road conditions on Birch Avenue street,road_damage
Fix streetlight on 5th Avenue quickly for safety,streetlight
Fix streetlight on Pine Road quickly for safety,streetlight
Park maintenance is poor at 5th Avenue,park_maintenance
Traffic signal timing is wrong on Elm Street,traffic_signal
Constant water leakage on MG Road is wasting water,water_leakage
Garbage piles near Elm Street are attracting rats,garbage
Please control noise at Pine Road during nights,noise
Traffic signals on Main Street are not working,traffic_signal
Sewage smell in the alley near Maple Avenue is unbearable,sewage
Sanitation problem near Cedar Street market,sanitation
Fix streetlight on Maple Avenue quickly for safety,streetlight
Water leakage near Cedar Street has damaged the street,water_leakage
Toilet cleanliness is poor at Park Lane park,sanitation
Potholes are damaging vehicles on Elm Street,pothole
Road potholes and cracks on Oak Street,road_damage
Fix public sanitation issues at Cedar Street,sanitation
Garbage piles near Main Street are attracting rats,garbage
Huge pothole near MG Road needs urgent repair,pothole
Unsafe road conditions on Elm Street street,road_damage
Dangerous pothole on Pine Road road is causing accidents,pothole
Broken traffic light on Pine Road road causing traffic jams,traffic_signal
Potholes are damaging vehicles on Park Lane,pothole
Loud noise from construction site at Birch Avenue is disturbing,noise
Traffic signal timing is wrong on Cedar Street,traffic_signal
There is a large pothole on Oak Street causing danger,pothole
Fix sewage leakage near Oak Street immediately,sewage
Traffic signal timing is wrong on Main Street,traffic_signal
Please control noise at MG Road during nights,noise
Traffic signals are malfunctioning at Oak Street intersection,traffic_signal
Traffic signals are malfunctioning at Maple Avenue intersection,traffic_signal
Please control noise at Park Lane during nights,noise
Fix sewage leakage near Main Street immediately,sewage
Many street lights off on Elm Street road,streetlight
Poor lighting on Park Lane at night is dangerous,streetlight
Road potholes and cracks on Elm Street,road_damage
Noise pollution from Oak Street is unbearable,noise
Many potholes along Maple Avenue street making it unsafe,pothole
Traffic signal timing is wrong on Maple Avenue,traffic_signal
Sanitation facilities at Main Street need improvement,sanitation
Many street lights off on 5th Avenue road,streetlight
There is a major water pipe leak on Elm Street,water_leakage
Road is cracked and unsafe on MG Road,road_damage
Fix sewage leakage near Pine Road immediately,sewage
Repair the damaged road near Cedar Street,road_damage
Overflowing garbage bins at Oak Street need cleaning,garbage
The park near Park Lane is full of broken benches and trash,park_maintenance
Fix water leakage issue on Birch Avenue immediately,water_leakage
Poor lighting on Park Lane at night is dangerous,streetlight
Broken traffic light on Pine Road road causing traffic jams,traffic_signal
Sewage water stagnating on MG Road road,sewage
Unsafe road conditions on Birch Avenue street,road_damage
Traffic signals on Elm Street are not working,traffic_signal
Poor lighting on Oak Street at night is dangerous,streetlight
Park maintenance is poor at Birch Avenue,park_maintenance
Dangerous pothole on Main Street road is causing accidents,pothole
Constant water leakage on Park Lane is wasting water,water_leakage
Overflowing garbage bins at Main Street need cleaning,garbage
Park facilities at Pine Road need repair,park_maintenance
Please control noise at Maple Avenue during nights,noise
Sewage water stagnating on 5th Avenue road,sewage
Toilet cleanliness is poor at Maple Avenue park,sanitation
Children cannot play at Maple Avenue park due to trash,park_maintenance
Clean the park area near Main Street,park_maintenance
Dark street due to faulty streetlights on Elm Street,streetlight
Huge pothole near Cedar Street needs urgent repair,pothole
Public toilet near Cedar Street is dirty and unusable,sanitation
Unsafe road conditions on Pine Road street,road_damage
Fix public sanitation issues at Oak Street,sanitation
Garbage dumping near Pine Road is causing health issues,garbage
Constant noise near MG Road affecting residents,noise
Dangerous pothole on Pine Road road is causing accidents,pothole
Dangerous pothole on Elm Street road is causing accidents,pothole
The park near Cedar Street is full of broken benches and trash,park_maintenance
Garbage dumping near Park Lane is causing health issues,garbage
There is a large pothole on Elm Street causing danger,pothole
Water is leaking from the pipe near Maple Avenue,water_leakage
Garbage dumping near Cedar Street is causing health issues,garbage
Sanitation problem near 5th Avenue market,sanitation
Road is cracked and unsafe on Cedar Street,road_damage
Sewage water is leaking on 5th Avenue street,sewage
Garbage dumping near Cedar Street is causing health issues,garbage
Sanitation facilities at Maple Avenue need improvement,sanitation
Traffic signals on Cedar Street are not working,traffic_signal
Sanitation facilities at Main Street need improvement,sanitation
Road is cracked and unsafe on MG Road,road_damage
Park maintenance is poor at Park Lane,park_maintenance
Street lights are not working properly at Park Lane,streetlight
Fix streetlight on Pine Road quickly for safety,streetlight
Garbage piles near Pine Road are attracting rats,garbage
Toilet cleanliness is poor at Birch Avenue park,sanitation
Please control noise at Park Lane during nights,noise
Fix sewage leakage near Oak Street immediately,sewage
The park near Maple Avenue is full of broken benches and trash,park_maintenance
Constant water leakage on Oak Street is wasting water,water_leakage
Damaged road surface on Pine Road needs fixing,road_damage
Sewage water stagnating on Cedar Street road,sewage
Many potholes along Main Street street making it unsafe,pothole
Poor lighting on Oak Street at night is dangerous,streetlight
Clean the park area near 5th Avenue,park_maintenance
Street lights are not working properly at MG Road,streetlight
